n,steps
656,216153.0
657,216811.0
658,217470.0
659,218130.0
660,218791.0
661,219453.0
662,220116.0
663,220780.0
664,221445.0
665,222111.0
666,222778.0
667,223446.0
668,224115.0
669,224785.0
670,225456.0
671,226128.0
672,226801.0
673,227475.0
674,228150.0
675,228826.0
676,229503.0
677,230181.0
678,230860.0
679,231540.0
680,232221.0
681,232903.0
682,233586.0
683,234270.0
684,234955.0
685,235641.0
686,236328.0
687,237016.0
688,237705.0
689,238395.0
690,239086.0
691,239778.0
692,240471.0
693,241165.0
694,241860.0
695,242556.0
696,243253.0
697,243951.0
698,244650.0
699,245350.0
700,246051.0
701,246753.0
702,247456.0
703,248160.0
704,248865.0
705,249571.0
706,250278.0
707,250986.0
708,251695.0
709,252405.0
710,253116.0
711,253828.0
712,254541.0
713,255255.0
714,255970.0
715,256686.0
716,257403.0
717,258121.0
718,258840.0
719,259560.0
720,260281.0
721,261003.0
722,261726.0
723,262450.0
724,263175.0
725,263901.0
726,264628.0
727,265356.0
728,266085.0
729,266815.0
730,267546.0
731,268278.0
732,269011.0
733,269745.0
734,270480.0
735,271216.0
736,271953.0
737,272691.0
738,273430.0
739,274170.0
740,274911.0
741,275653.0
742,276396.0
743,277140.0
744,277885.0
745,278631.0
746,279378.0
747,280126.0
748,280875.0
749,281625.0
750,282376.0
751,283128.0
752,283881.0
753,284635.0
754,285390.0
755,286146.0
756,286903.0
757,287661.0
758,288420.0
759,289180.0
760,289941.0
761,290703.0
762,291466.0
763,292230.0
764,292995.0
765,293761.0
766,294528.0
767,295296.0
768,296065.0
769,296835.0
770,297606.0
771,298378.0
772,299151.0
773,299925.0
774,300700.0
775,301476.0
776,302253.0
777,303031.0
778,303810.0
779,304590.0
780,305371.0
781,306153.0
782,306936.0
783,307720.0
784,308505.0
785,309291.0
786,310078.0
787,310866.0
788,311655.0
789,312445.0
790,313236.0
791,314028.0
792,314821.0
793,315615.0
794,316410.0
795,317206.0
796,318003.0
797,318801.0
798,319600.0
799,320400.0
800,321201.0
801,322003.0
802,322806.0
803,323610.0
804,324415.0
805,325221.0
806,326028.0
807,326836.0
808,327645.0
809,328455.0
810,329266.0
811,330078.0
812,330891.0
813,331705.0
814,332520.0
815,333336.0
816,334153.0
817,334971.0
818,335790.0
819,336610.0
820,337431.0
821,338253.0
822,339076.0
823,339900.0
824,340725.0
825,341551.0
826,342378.0
827,343206.0
828,344035.0
829,344865.0
830,345696.0
831,346528.0
832,347361.0
833,348195.0
834,349030.0
835,349866.0
836,350703.0
837,351541.0
838,352380.0
839,353220.0
840,354061.0
841,354903.0
842,355746.0
843,356590.0
844,357435.0
845,358281.0
846,359128.0
847,359976.0
848,360825.0
849,361675.0
850,362526.0
851,363378.0
852,364231.0
853,365085.0
854,365940.0
855,366796.0
856,367653.0
857,368511.0
858,369370.0
859,370230.0
860,371091.0
861,371953.0
862,372816.0
863,373680.0
864,374545.0
865,375411.0
866,376278.0
867,377146.0
868,378015.0
869,378885.0
870,379756.0
871,380628.0
872,381501.0
873,382375.0
874,383250.0
875,384126.0
876,385003.0
877,385881.0
878,386760.0
879,387640.0
880,388521.0
881,389403.0
882,390286.0
883,391170.0
884,392055.0
885,392941.0
886,393828.0
887,394716.0
888,395605.0
889,396495.0
890,397386.0
891,398278.0
892,399171.0
893,400065.0
894,400960.0
895,401856.0
896,402753.0
897,403651.0
898,404550.0
899,405450.0
900,406351.0
901,407253.0
902,408156.0
903,409060.0
904,409965.0
905,410871.0
906,411778.0
907,412686.0
908,413595.0
909,414505.0
910,415416.0
911,416328.0
912,417241.0
913,418155.0
914,419070.0
915,419986.0
916,420903.0
917,421821.0
918,422740.0
919,423660.0
920,424581.0
921,425503.0
922,426426.0
923,427350.0
924,428275.0
925,429201.0
926,430128.0
927,431056.0
928,431985.0
929,432915.0
930,433846.0
931,434778.0
932,435711.0
933,436645.0
934,437580.0
935,438516.0
936,439453.0
937,440391.0
938,441330.0
939,442270.0
940,443211.0
941,444153.0
942,445096.0
943,446040.0
944,446985.0
945,447931.0
946,448878.0
947,449826.0
948,450775.0
949,451725.0
950,452676.0
951,453628.0
952,454581.0
953,455535.0
954,456490.0
955,457446.0
956,458403.0
957,459361.0
958,460320.0
959,461280.0
960,462241.0
961,463203.0
962,464166.0
963,465130.0
964,466095.0
965,467061.0
966,468028.0
967,468996.0
968,469965.0
969,470935.0
970,471906.0
971,472878.0
972,473851.0
973,474825.0
974,475800.0
975,476776.0
976,477753.0
977,478731.0
978,479710.0
979,480690.0
980,481671.0
981,482653.0
982,483636.0
983,484620.0
984,485605.0
985,486591.0
986,487578.0
987,488566.0
988,489555.0
989,490545.0
990,491536.0
991,492528.0
992,493521.0
993,494515.0
994,495510.0
995,496506.0
996,497503.0
997,498501.0
998,499500.0
999,500500.0
1000,501501.0
